% This dataset is taken from the Penn Machine Learning Benchmark.
% This ARFF is automatically generated.
% The data types of attributes are inferred from the data.
% In particular this means there is some uncertainty as to whether an attribute truly is categorical, numerical or ordinal.

@RELATION titanic
@ATTRIBUTE Class NUMERIC
@ATTRIBUTE Age NUMERIC
@ATTRIBUTE Sex NUMERIC
@ATTRIBUTE class {-1,1}
@DATA
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.0214,4.38,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,4.38,0.521,1
-1.87,-0.228,-1.92,1
-1.87,-0.228,0.521,1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,4.38,-1.92,1
0.0214,4.38,0.521,-1
-0.923,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,4.38,0.521,1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
-0.923,-0.228,-1.92,-1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.0214,4.38,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
-1.87,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-0.923,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,4.38,-1.92,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,4.38,-1.92,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,4.38,-1.92,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,4.38,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.0214,4.38,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,4.38,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,0.521,-1
0.0214,4.38,0.521,-1
-0.923,-0.228,-1.92,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.0214,4.38,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,4.38,-1.92,1
-1.87,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,4.38,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,0.521,1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,4.38,0.521,1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.0214,-0.228,-1.92,1
0.965,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
-0.923,-0.228,-1.92,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,-1.92,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,-1.92,-1
0.0214,-0.228,0.521,-1
0.0214,4.38,0.521,-1
-0.923,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,-1.92,-1
-0.923,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,4.38,-1.92,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,-1.92,-1
-1.87,-0.228,0.521,1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,1
-0.923,-0.228,0.521,-1
-0.923,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,1
-0.923,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
0.0214,4.38,-1.92,-1
-0.923,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,4.38,-1.92,1
0.965,-0.228,0.521,-1
0.0214,4.38,-1.92,1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,4.38,0.521,1
-1.87,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,1
-0.923,-0.228,-1.92,1
0.0214,4.38,0.521,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,-1.92,-1
-0.923,4.38,0.521,1
0.965,-0.228,0.521,1
0.0214,4.38,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,4.38,-1.92,-1
0.0214,-0.228,0.521,1
-1.87,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-0.923,-0.228,-1.92,-1
-1.87,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,-1.92,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
-1.87,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,1
-1.87,-0.228,-1.92,1
-0.923,4.38,0.521,1
0.0214,4.38,0.521,-1
0.965,-0.228,-1.92,1
0.965,-0.228,0.521,1
-1.87,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
0.0214,-0.228,-1.92,1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
-0.923,4.38,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,-1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
-0.923,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
-0.923,-0.228,0.521,1
-1.87,-0.228,-1.92,1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,4.38,0.521,1
-1.87,4.38,0.521,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
-0.923,4.38,-1.92,1
-1.87,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.0214,4.38,-1.92,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
-1.87,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,4.38,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,4.38,-1.92,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
-1.87,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.0214,4.38,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.0214,4.38,-1.92,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.0214,4.38,-1.92,-1
0.0214,-0.228,-1.92,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,4.38,0.521,1
-1.87,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.0214,-0.228,-1.92,-1
-1.87,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,1
